"Nq" "wavelength" "ext" "cd"
50 587 "cross-section" "dichroism"
50 588 "cross-section" "dichroism"
50 589 "cross-section" "dichroism"
50 590 "cross-section" "dichroism"
50 591 "cross-section" "dichroism"
50 592 "cross-section" "dichroism"
50 593 "cross-section" "dichroism"
50 594 "cross-section" "dichroism"
50 595 "cross-section" "dichroism"
50 596 "cross-section" "dichroism"
50 597 "cross-section" "dichroism"
50 598 "cross-section" "dichroism"
50 599 "cross-section" "dichroism"
50 600 "cross-section" "dichroism"
50 601 "cross-section" "dichroism"
50 602 "cross-section" "dichroism"
50 603 "cross-section" "dichroism"
50 604 "cross-section" "dichroism"
50 605 "cross-section" "dichroism"
50 606 "cross-section" "dichroism"
50 607 "cross-section" "dichroism"
50 608 "cross-section" "dichroism"
50 609 "cross-section" "dichroism"
50 610 "cross-section" "dichroism"
50 611 "cross-section" "dichroism"
50 612 "cross-section" "dichroism"
50 613 "cross-section" "dichroism"
50 614 "cross-section" "dichroism"
50 615 "cross-section" "dichroism"
50 616 "cross-section" "dichroism"
50 617 "cross-section" "dichroism"
50 618 "cross-section" "dichroism"
50 619 "cross-section" "dichroism"
50 620 "cross-section" "dichroism"
50 621 "cross-section" "dichroism"
50 622 "cross-section" "dichroism"
50 623 "cross-section" "dichroism"
50 624 "cross-section" "dichroism"
50 625 "cross-section" "dichroism"
50 626 "cross-section" "dichroism"
50 627 "cross-section" "dichroism"
50 628 "cross-section" "dichroism"
50 629 "cross-section" "dichroism"
50 630 "cross-section" "dichroism"
50 631 "cross-section" "dichroism"
50 632 "cross-section" "dichroism"
50 633 "cross-section" "dichroism"
50 634 "cross-section" "dichroism"
50 635 "cross-section" "dichroism"
50 636 "cross-section" "dichroism"
50 637 "cross-section" "dichroism"
50 638 "cross-section" "dichroism"
50 639 "cross-section" "dichroism"
50 640 "cross-section" "dichroism"
50 641 "cross-section" "dichroism"
50 642 "cross-section" "dichroism"
50 643 "cross-section" "dichroism"
50 644 "cross-section" "dichroism"
50 645 "cross-section" "dichroism"
50 646 "cross-section" "dichroism"
50 647 "cross-section" "dichroism"
50 648 "cross-section" "dichroism"
50 649 "cross-section" "dichroism"
50 650 "cross-section" "dichroism"
50 651 "cross-section" "dichroism"
50 652 "cross-section" "dichroism"
50 653 "cross-section" "dichroism"
50 654 "cross-section" "dichroism"
50 655 "cross-section" "dichroism"
50 656 "cross-section" "dichroism"
50 657 "cross-section" "dichroism"
50 658 "cross-section" "dichroism"
50 659 "cross-section" "dichroism"
50 660 "cross-section" "dichroism"
50 661 "cross-section" "dichroism"
50 662 "cross-section" "dichroism"
50 663 "cross-section" "dichroism"
50 664 "cross-section" "dichroism"
50 665 "cross-section" "dichroism"
50 666 "cross-section" "dichroism"
50 667 "cross-section" "dichroism"
50 668 "cross-section" "dichroism"
50 669 "cross-section" "dichroism"
50 670 "cross-section" "dichroism"
50 671 "cross-section" "dichroism"
50 672 "cross-section" "dichroism"
50 673 "cross-section" "dichroism"
50 674 "cross-section" "dichroism"
50 675 "cross-section" "dichroism"
50 676 "cross-section" "dichroism"
50 677 "cross-section" "dichroism"
50 678 "cross-section" "dichroism"
50 679 "cross-section" "dichroism"
50 680 "cross-section" "dichroism"
50 681 "cross-section" "dichroism"
50 682 "cross-section" "dichroism"
50 683 "cross-section" "dichroism"
50 684 "cross-section" "dichroism"
50 685 "cross-section" "dichroism"
50 686 "cross-section" "dichroism"
50 687 "cross-section" "dichroism"
50 688 "cross-section" "dichroism"
50 689 "cross-section" "dichroism"
50 690 "cross-section" "dichroism"
50 691 "cross-section" "dichroism"
50 692 "cross-section" "dichroism"
50 693 "cross-section" "dichroism"
50 694 "cross-section" "dichroism"
50 695 "cross-section" "dichroism"
50 696 "cross-section" "dichroism"
50 697 "cross-section" "dichroism"
50 698 "cross-section" "dichroism"
50 699 "cross-section" "dichroism"
50 700 "cross-section" "dichroism"
50 701 "cross-section" "dichroism"
50 702 "cross-section" "dichroism"
50 703 "cross-section" "dichroism"
50 704 "cross-section" "dichroism"
50 705 "cross-section" "dichroism"
50 706 "cross-section" "dichroism"
50 707 "cross-section" "dichroism"
50 708 "cross-section" "dichroism"
50 709 "cross-section" "dichroism"
50 710 "cross-section" "dichroism"
50 711 "cross-section" "dichroism"
50 712 "cross-section" "dichroism"
50 713 "cross-section" "dichroism"
50 714 "cross-section" "dichroism"
50 715 "cross-section" "dichroism"
50 716 "cross-section" "dichroism"
50 717 "cross-section" "dichroism"
50 718 "cross-section" "dichroism"
50 719 "cross-section" "dichroism"
50 720 "cross-section" "dichroism"
50 721 "cross-section" "dichroism"
50 722 "cross-section" "dichroism"
50 723 "cross-section" "dichroism"
50 724 "cross-section" "dichroism"
50 725 "cross-section" "dichroism"
50 726 "cross-section" "dichroism"
50 727 "cross-section" "dichroism"
50 728 "cross-section" "dichroism"
50 729 "cross-section" "dichroism"
50 730 "cross-section" "dichroism"
50 731 "cross-section" "dichroism"
50 732 "cross-section" "dichroism"
50 733 "cross-section" "dichroism"
50 734 "cross-section" "dichroism"
50 735 "cross-section" "dichroism"
50 736 "cross-section" "dichroism"
50 737 "cross-section" "dichroism"
50 738 "cross-section" "dichroism"
50 739 "cross-section" "dichroism"
50 740 "cross-section" "dichroism"
50 741 "cross-section" "dichroism"
50 742 "cross-section" "dichroism"
50 743 "cross-section" "dichroism"
50 744 "cross-section" "dichroism"
50 745 "cross-section" "dichroism"
50 746 "cross-section" "dichroism"
50 747 "cross-section" "dichroism"
50 748 "cross-section" "dichroism"
50 749 "cross-section" "dichroism"
50 750 "cross-section" "dichroism"
50 751 "cross-section" "dichroism"
50 752 "cross-section" "dichroism"
50 753 "cross-section" "dichroism"
50 754 "cross-section" "dichroism"
50 755 "cross-section" "dichroism"
50 756 "cross-section" "dichroism"
50 757 "cross-section" "dichroism"
50 758 "cross-section" "dichroism"
50 759 "cross-section" "dichroism"
50 760 "cross-section" "dichroism"
50 761 "cross-section" "dichroism"
50 762 "cross-section" "dichroism"
50 763 "cross-section" "dichroism"
50 764 "cross-section" "dichroism"
50 765 "cross-section" "dichroism"
50 766 "cross-section" "dichroism"
50 767 "cross-section" "dichroism"
50 768 "cross-section" "dichroism"
50 769 "cross-section" "dichroism"
50 770 "cross-section" "dichroism"
50 771 "cross-section" "dichroism"
50 772 "cross-section" "dichroism"
50 773 "cross-section" "dichroism"
50 774 "cross-section" "dichroism"
50 775 "cross-section" "dichroism"
50 776 "cross-section" "dichroism"
50 777 "cross-section" "dichroism"
50 778 "cross-section" "dichroism"
50 779 "cross-section" "dichroism"
50 780 "cross-section" "dichroism"
50 781 "cross-section" "dichroism"
50 782 "cross-section" "dichroism"
50 783 "cross-section" "dichroism"
50 784 "cross-section" "dichroism"
50 785 "cross-section" "dichroism"
50 786 "cross-section" "dichroism"
50 787 "cross-section" "dichroism"
50 788 "cross-section" "dichroism"
50 789 "cross-section" "dichroism"
50 790 "cross-section" "dichroism"
50 791 "cross-section" "dichroism"
50 792 "cross-section" "dichroism"
50 793 "cross-section" "dichroism"
50 794 "cross-section" "dichroism"
50 795 "cross-section" "dichroism"
50 796 "cross-section" "dichroism"
50 797 "cross-section" "dichroism"
50 798 "cross-section" "dichroism"
50 799 "cross-section" "dichroism"
50 800 "cross-section" "dichroism"
70 400 "cross-section" "dichroism"
70 401 "cross-section" "dichroism"
70 402 "cross-section" "dichroism"
70 403 "cross-section" "dichroism"
70 404 "cross-section" "dichroism"
70 405 "cross-section" "dichroism"
70 406 "cross-section" "dichroism"
70 407 "cross-section" "dichroism"
70 408 "cross-section" "dichroism"
70 409 "cross-section" "dichroism"
70 410 "cross-section" "dichroism"
70 411 "cross-section" "dichroism"
70 412 "cross-section" "dichroism"
70 413 "cross-section" "dichroism"
70 414 "cross-section" "dichroism"
70 415 "cross-section" "dichroism"
70 416 "cross-section" "dichroism"
70 417 "cross-section" "dichroism"
70 418 "cross-section" "dichroism"
70 419 "cross-section" "dichroism"
70 420 "cross-section" "dichroism"
70 421 "cross-section" "dichroism"
70 422 "cross-section" "dichroism"
70 423 "cross-section" "dichroism"
70 424 "cross-section" "dichroism"
70 425 "cross-section" "dichroism"
70 426 "cross-section" "dichroism"
70 427 "cross-section" "dichroism"
70 428 "cross-section" "dichroism"
70 429 "cross-section" "dichroism"
70 430 "cross-section" "dichroism"
70 431 "cross-section" "dichroism"
70 432 "cross-section" "dichroism"
70 433 "cross-section" "dichroism"
70 434 "cross-section" "dichroism"
70 435 "cross-section" "dichroism"
70 436 "cross-section" "dichroism"
70 437 "cross-section" "dichroism"
70 438 "cross-section" "dichroism"
70 439 "cross-section" "dichroism"
70 440 "cross-section" "dichroism"
70 441 "cross-section" "dichroism"
70 442 "cross-section" "dichroism"
70 443 "cross-section" "dichroism"
70 444 "cross-section" "dichroism"
70 445 "cross-section" "dichroism"
70 446 "cross-section" "dichroism"
70 447 "cross-section" "dichroism"
70 448 "cross-section" "dichroism"
70 449 "cross-section" "dichroism"
70 450 "cross-section" "dichroism"
70 451 "cross-section" "dichroism"
70 452 "cross-section" "dichroism"
70 453 "cross-section" "dichroism"
70 454 "cross-section" "dichroism"
70 455 "cross-section" "dichroism"
70 456 "cross-section" "dichroism"
70 457 "cross-section" "dichroism"
70 458 "cross-section" "dichroism"
70 459 "cross-section" "dichroism"
70 460 "cross-section" "dichroism"
70 461 "cross-section" "dichroism"
70 462 "cross-section" "dichroism"
70 463 "cross-section" "dichroism"
70 464 "cross-section" "dichroism"
70 465 "cross-section" "dichroism"
70 466 "cross-section" "dichroism"
70 467 "cross-section" "dichroism"
70 468 "cross-section" "dichroism"
70 469 "cross-section" "dichroism"
70 470 "cross-section" "dichroism"
70 471 "cross-section" "dichroism"
70 472 "cross-section" "dichroism"
70 473 "cross-section" "dichroism"
70 474 "cross-section" "dichroism"
70 475 "cross-section" "dichroism"
70 476 "cross-section" "dichroism"
70 477 "cross-section" "dichroism"
70 478 "cross-section" "dichroism"
70 479 "cross-section" "dichroism"
70 480 "cross-section" "dichroism"
70 481 "cross-section" "dichroism"
70 482 "cross-section" "dichroism"
70 483 "cross-section" "dichroism"
70 484 "cross-section" "dichroism"
70 485 "cross-section" "dichroism"
70 486 "cross-section" "dichroism"
70 487 "cross-section" "dichroism"
70 488 "cross-section" "dichroism"
70 489 "cross-section" "dichroism"
70 490 "cross-section" "dichroism"
70 491 "cross-section" "dichroism"
70 492 "cross-section" "dichroism"
70 493 "cross-section" "dichroism"
70 494 "cross-section" "dichroism"
70 495 "cross-section" "dichroism"
70 496 "cross-section" "dichroism"
70 497 "cross-section" "dichroism"
70 498 "cross-section" "dichroism"
70 499 "cross-section" "dichroism"
70 500 "cross-section" "dichroism"
70 501 "cross-section" "dichroism"
70 502 "cross-section" "dichroism"
70 503 "cross-section" "dichroism"
70 504 "cross-section" "dichroism"
70 505 "cross-section" "dichroism"
70 506 "cross-section" "dichroism"
70 507 "cross-section" "dichroism"
70 508 "cross-section" "dichroism"
70 509 "cross-section" "dichroism"
70 510 "cross-section" "dichroism"
70 511 "cross-section" "dichroism"
70 512 "cross-section" "dichroism"
70 513 "cross-section" "dichroism"
